ID,FirstName,LastName,Gender,Email,Department,ManagerEmail,Laptop,Monitor,Headset,CreatedDate,UpdatedDate
e04bbdaa-52f9-48d3-8877-6caffa2657db,Matthew,Diaz,M,matthew.diaz.ceo@company.com,management,,Dell Latitude 7440,True,True,2022-12-13,2023-10-01
7749efa5-fa2a-4b8f-81d5-a0e821086f21,Carol,Bennett,F,carol.bennett@company.com,management,matthew.diaz.ceo@company.com,"MacBook Pro 14""",True,False,2021-09-14,2021-10-30
128b6b02-a255-4816-9841-fd09ee894acb,Ryan,Clark,M,ryan.clark@company.com,management,matthew.diaz.ceo@company.com,Dell XPS 15,True,True,2018-11-03,2019-10-07
78c6ae1c-a7e6-471f-b301-5ac6d09b2624,Carolyn,Thompson,F,carolyn.thompson@company.com,management,matthew.diaz.ceo@company.com,"MacBook Pro 16""",True,True,2021-07-17,2021-08-27
f5649404-1d99-4c65-ba37-544edb568684,Kenneth,Adams,M,kenneth.adams@company.com,management,matthew.diaz.ceo@company.com,ThinkPad X1 Carbon,True,False,2020-02-17,2020-09-07
5f1f7ec3-c327-46b2-a7e7-ed9069f1750e,Kimberly,Ramirez,F,kimberly.ramirez@company.com,management,matthew.diaz.ceo@company.com,MacBook Air M2,True,True,2019-09-02,2020-02-12
5cd0aca4-37df-4021-9c4b-3b5d91e8df23,Janet,Robinson,F,janet.robinson@company.com,management,matthew.diaz.ceo@company.com,"MacBook Pro 14""",True,False,2018-10-02,2019-02-26
13970365-fccf-4b82-89d2-748ef756715a,Charlotte,Turner,F,charlotte.turner@company.com,management,matthew.diaz.ceo@company.com,Dell Latitude 7440,True,True,2023-09-11,2024-03-13
b6d238cc-fcd9-4b2f-8cb4-5756b08d963c,Donald,Hernandez,M,donald.hernandez@company.com,management,matthew.diaz.ceo@company.com,Surface Laptop 5,True,True,2020-12-03,2021-07-23
87bd3073-876e-4d2a-8699-77f8480b0a42,Eric,Evans,M,eric.evans@company.com,management,matthew.diaz.ceo@company.com,Dell XPS 15,True,False,2020-09-13,2021-05-16
